               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06612,            0.028931,            0.043655,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070236,           0.0033071,           0.0033071
                   1,            0.041146,            0.025406,            0.039096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040127,           0.0065309,           0.0065309
                   2,            0.038103,            0.021378,            0.035514,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099071,           0.0096446,           0.0096446
                   3,            0.035407,            0.018098,            0.032114,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.031298,            0.017303,            0.030214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.027562,            0.016524,            0.029678,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.026563,             0.01616,            0.027893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.026665,            0.015212,            0.027757,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.025931,            0.015212,            0.028453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.023156,            0.014653,            0.027018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.022633,            0.014154,            0.025773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.023515,            0.013903,            0.024211,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.022072,            0.013668,            0.023242,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.020903,            0.013457,             0.02311,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.020241,            0.013324,            0.021913,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.019584,            0.013064,            0.022269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.019363,            0.012694,            0.021139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.020592,            0.012963,            0.021193,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.018646,            0.012861,            0.021691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.018555,            0.012554,             0.01994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.017787,            0.012313,            0.020186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.018504,            0.012242,            0.019437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.018923,            0.012412,            0.018768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  23,             0.01851,            0.012236,            0.018616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  24,             0.01726,            0.011978,            0.017638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.017607,            0.011863,            0.017878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.017929,            0.012125,              0.0167,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.017754,            0.011554,            0.017991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.017326,            0.011911,            0.019231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.017329,            0.011576,            0.016813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  30,             0.01723,            0.011535,             0.01619,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                  31,            0.016748,            0.011796,            0.017123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  32,            0.016725,            0.011603,            0.016943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
                  33,            0.015535,            0.011367,            0.015819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  34,            0.015284,            0.011417,            0.015476,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  35,             0.01477,            0.011222,            0.014686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  36,            0.015353,            0.011354,             0.01636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004225,            0.004225,            0.004225
                  37,            0.014968,            0.011157,            0.015796,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  38,            0.014291,             0.01115,            0.014325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003895,            0.003895,            0.003895
                  39,            0.015329,            0.010967,            0.013926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.014973,            0.011145,            0.012764,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.013947,            0.010873,            0.014117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.014755,            0.010513,            0.012851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.014617,            0.010812,            0.013438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.013622,            0.010394,            0.011672,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.013779,            0.010718,            0.012239,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.013875,            0.010616,            0.012696,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.013021,            0.010756,            0.011326,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.012658,            0.010309,            0.010773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.013629,            0.010231,            0.012143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.013138,             0.01034,             0.01031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.012586,            0.010091,           0.0097229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.013339,           0.0099996,            0.011642,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.012567,            0.010218,            0.010146,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.013019,            0.010361,             0.01101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.012812,            0.010181,           0.0095111,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.011772,           0.0098307,            0.009687,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.011509,           0.0096559,           0.0095191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.011721,           0.0094322,           0.0090343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.011523,            0.009562,           0.0087813,             0.92601,             0.86021,             0.94632,             0.93837,           0.0014895,           0.0020329,           0.0033963,             0.00043,             0.00043,             0.00043
